case_number,source,prompt,evaluation_seed,coco_id
126,coco-30k,"An image containing person, scissors",9445,368294
127,coco-30k,"An image containing wine glass, cup, dining table, person, bottle, chair, knife",79121,171190
128,coco-30k,"An image containing car, bench, backpack, handbag, person, bicycle",43912,301135
129,coco-30k,"An image containing person, bowl, sink, spoon, oven, toothbrush, cup",1380,580294
130,coco-30k,"An image containing dog, person, spoon, bowl, bottle",76637,494869
131,coco-30k,"An image containing person, spoon, bowl, oven",21126,33638
132,coco-30k,"An image containing dog, person, knife, cup, fork, spoon, sink",48141,329219
133,coco-30k,"An image containing chair, dining table, bowl, apple, sink, cup, tv",66184,34873
134,coco-30k,"An image containing chair, dining table, refrigerator, bowl, oven, sink, wine glass, knife, spoon, microwave",43307,186980
135,coco-30k,"An image containing potted plant, microwave, oven, knife, vase, sink, refrigerator",81817,127182
136,coco-30k,"An image containing bicycle, motorcycle, person, backpack",69429,356387
137,coco-30k,"An image containing horse, car, bus, person, truck",88282,367680
138,coco-30k,An image containing toilet,12944,263796
139,coco-30k,"An image containing dining table, person, spoon, cake, cup",61638,117425
140,coco-30k,"An image containing bed, toilet, sink, cup",6759,365387
141,coco-30k,"An image containing toilet, cup",17591,487583
142,coco-30k,"An image containing fork, cake",95351,504711
143,coco-30k,"An image containing tv, chair, laptop, mouse, keyboard, handbag, bottle, person",36615,363840
144,coco-30k,"An image containing couch, chair, dining table, person, knife, cake, potted plant",14043,214720
145,coco-30k,An image containing airplane,47192,379453
146,coco-30k,"An image containing zebra, giraffe",31987,311295
147,coco-30k,"An image containing dog, orange",23064,29393
148,coco-30k,"An image containing car, bus, person, umbrella",97894,278848
149,coco-30k,"An image containing car, truck, traffic light",53625,166391
150,coco-30k,"An image containing person, bench",49012,48153
151,coco-30k,"An image containing person, bench, laptop, backpack",85018,459153
152,coco-30k,"An image containing cell phone, person, bench, handbag",55230,295713
153,coco-30k,An image containing giraffe,42433,223130
154,coco-30k,"An image containing person, bench, handbag",62535,273132
155,coco-30k,An image containing sheep,59913,198960
156,coco-30k,An image containing giraffe,42433,344059
157,coco-30k,An image containing sheep,59913,410428
158,coco-30k,An image containing fire hydrant,58584,87875
159,coco-30k,An image containing giraffe,42433,450758
160,coco-30k,An image without any labeled objects,6398,458790
161,coco-30k,An image containing bird,39521,460160
162,coco-30k,"An image containing train, person",17407,458109
163,coco-30k,An image containing train,43140,30675
164,coco-30k,"An image containing train, person",17407,566524
165,coco-30k,"An image containing bus, truck",81389,338428
166,coco-30k,"An image containing cat, chair",36489,545826
167,coco-30k,"An image containing cat, cup",23085,166277
168,coco-30k,"An image containing cat, banana",92992,269314
169,coco-30k,"An image containing tie, person",6010,476415
170,coco-30k,"An image containing tie, person, chair",51887,292082
171,coco-30k,"An image containing umbrella, handbag, person",28989,360137
172,coco-30k,"An image containing umbrella, chair, person",43871,122046
173,coco-30k,"An image containing tie, person",6010,352684
174,coco-30k,"An image containing dog, person, umbrella, handbag",2907,512836
175,coco-30k,"An image containing tie, person, bottle",59727,8021
176,coco-30k,"An image containing dog, person, umbrella, bicycle",18283,107226
177,coco-30k,"An image containing umbrella, chair, person",43871,84477
178,coco-30k,"An image containing tie, person",6010,562243
179,coco-30k,"An image containing cat, sink",5009,181859
180,coco-30k,"An image containing cat, couch, laptop, person, refrigerator",32602,177015
181,coco-30k,"An image containing person, suitcase, train",66006,292236
182,coco-30k,"An image containing umbrella, dining table, bench, chair, car",8032,121506
183,coco-30k,"An image containing person, truck, umbrella",8771,288042
184,coco-30k,An image containing suitcase,13239,453860
185,coco-30k,"An image containing person, suitcase, backpack, tv",33298,500257
186,coco-30k,"An image containing teddy bear, bed",76122,113403
187,coco-30k,"An image containing teddy bear, book",37903,125062
188,coco-30k,An image containing bear,18388,375015
189,coco-30k,"An image containing person, frisbee, bottle",75632,334719
190,coco-30k,"An image containing dog, bed, laptop",91604,134112
191,coco-30k,"An image containing person, frisbee",50766,283520
192,coco-30k,An image containing zebra,11492,31269
193,coco-30k,"An image containing horse, person",87556,319721
194,coco-30k,"An image containing banana, dining table",17245,165351
195,coco-30k,"An image containing person, skis",97938,347265
196,coco-30k,"An image containing person, skis, backpack",61274,414170
197,coco-30k,"An image containing car, baseball glove, person, bench, sports ball, chair",56737,231508
198,coco-30k,"An image containing bowl, broccoli, carrot, dining table, apple",69354,389381
199,coco-30k,"An image containing person, skis",97938,118921
