case_number,source,prompt,evaluation_seed,coco_id
51,coco-30k,"An image containing umbrella, handbag, person",92793,301867
52,coco-30k,"An image containing dining table, motorcycle, person, umbrella, suitcase",18450,312421
53,coco-30k,"An image containing dog, person, frisbee",50519,185250
54,coco-30k,"An image containing person, backpack, handbag, suitcase",55896,356427
55,coco-30k,"An image containing bird, bear",55911,572517
56,coco-30k,An image containing zebra,1634,270244
57,coco-30k,"An image containing zebra, bird",91893,516316
58,coco-30k,An image containing zebra,1634,125211
59,coco-30k,An image containing zebra,1634,562121
60,coco-30k,"An image containing horse, person",82525,360661
61,coco-30k,"An image containing horse, bench, person, umbrella, tie, train",27170,16228
62,coco-30k,An image containing horse,65359,382088
63,coco-30k,"An image containing person, skis",21055,266409
64,coco-30k,"An image containing sports ball, person, baseball glove",75014,430961
65,coco-30k,"An image containing skis, person",28828,80671
66,coco-30k,"An image containing bowl, person, banana",93006,577539
67,coco-30k,An image containing broccoli,90551,104612
68,coco-30k,"An image containing person, skateboard",21516,476258
69,coco-30k,"An image containing person, skateboard, bicycle",44497,448365
70,coco-30k,"An image containing person, skateboard",21516,35197
71,coco-30k,"An image containing car, person, bench, skateboard",76364,349860
72,coco-30k,"An image containing person, skateboard",21516,180135
73,coco-30k,"An image containing person, donut",81460,486438
74,coco-30k,"An image containing person, donut",81460,400573
75,coco-30k,"An image containing donut, dining table",16242,109798
76,coco-30k,"An image containing person, donut",81460,370677
77,coco-30k,An image containing donut,91210,238866
78,coco-30k,"An image containing sandwich, orange, dining table",48704,369370
79,coco-30k,"An image containing person, cake, cup",78209,502737
80,coco-30k,"An image containing potted plant, person, sports ball, bench, baseball glove",3048,515579
81,coco-30k,"An image containing person, surfboard",69404,515445
82,coco-30k,"An image containing knife, cake, cup, dining table",6536,173383
83,coco-30k,"An image containing sports ball, person, bench",27283,438862
84,coco-30k,"An image containing person, cake",20578,180560
85,coco-30k,An image containing bed,90336,347693
86,coco-30k,"An image containing bed, chair",77611,39956
87,coco-30k,"An image containing person, cake, chair",95396,321214
88,coco-30k,"An image containing sports ball, person",37493,474028
89,coco-30k,An image containing bed,90336,66523
90,coco-30k,"An image containing bottle, bed, person",33133,355257
91,coco-30k,An image containing pizza,43643,142092
92,coco-30k,"An image containing surfboard, person",65625,63154
93,coco-30k,"An image containing bed, person",12959,199551
94,coco-30k,"An image containing person, tie, bed",60154,239347
95,coco-30k,"An image containing tv, person",41789,514508
96,coco-30k,"An image containing chair, person, pizza",73336,473237
97,coco-30k,"An image containing chair, dining table",33735,228144
98,coco-30k,"An image containing bottle, dining table, pizza",3175,206027
99,coco-30k,"An image containing sports ball, tennis racket, person",78756,78915
100,coco-30k,"An image containing person, tennis racket",26670,551215
101,coco-30k,"An image containing toothbrush, person",23050,544519
102,coco-30k,"An image containing couch, person, remote",5542,96493
103,coco-30k,"An image containing person, remote, couch",37756,23899
104,coco-30k,"An image containing chair, couch, dining table, bench, book, apple, potted plant, vase",81467,340175
105,coco-30k,"An image containing potted plant, chair, couch, dining table, vase",99380,578500
106,coco-30k,"An image containing tv, cat, couch, chair",97957,366141
107,coco-30k,"An image containing sports ball, car, person, bench, backpack, truck",66066,57597
108,coco-30k,"An image containing sports ball, person, cup, chair",87204,559842
109,coco-30k,"An image containing person, vase, bowl",20725,434230
110,coco-30k,"An image containing person, snowboard, kite, car",33437,428454
111,coco-30k,"An image containing person, kite",10634,399462
112,coco-30k,"An image containing person, baseball bat, potted plant",74809,261061
113,coco-30k,"An image containing clock, car, fire hydrant",34132,168330
114,coco-30k,"An image containing person, baseball bat, baseball glove, sports ball",87223,383384
115,coco-30k,"An image containing boat, clock",11848,342006
116,coco-30k,"An image containing baseball bat, baseball glove, person, chair",50834,217285
117,coco-30k,"An image containing pizza, spoon",51483,236412
118,coco-30k,"An image containing laptop, mouse, keyboard, person, handbag",52616,524456
119,coco-30k,An image containing teddy bear,94865,153343
120,coco-30k,"An image containing cup, vase",89746,95786
121,coco-30k,"An image containing cell phone, person, car",47835,326541
122,coco-30k,"An image containing person, oven, book, vase",22995,213086
123,coco-30k,"An image containing refrigerator, person, bowl",50695,231339
124,coco-30k,"An image containing person, chair, toilet, sink",37736,508730
125,coco-30k,An image containing vase,40539,550426
126,coco-30k,"An image containing person, scissors",17625,368294
127,coco-30k,"An image containing wine glass, cup, dining table, person, bottle, chair, knife",40789,171190
128,coco-30k,"An image containing car, bench, backpack, handbag, person, bicycle",15754,301135
129,coco-30k,"An image containing person, bowl, sink, spoon, oven, toothbrush, cup",55935,580294
130,coco-30k,"An image containing dog, person, spoon, bowl, bottle",1444,494869
131,coco-30k,"An image containing person, spoon, bowl, oven",46890,33638
132,coco-30k,"An image containing dog, person, knife, cup, fork, spoon, sink",89444,329219
133,coco-30k,"An image containing chair, dining table, bowl, apple, sink, cup, tv",3509,34873
134,coco-30k,"An image containing chair, dining table, refrigerator, bowl, oven, sink, wine glass, knife, spoon, microwave",40384,186980
135,coco-30k,"An image containing potted plant, microwave, oven, knife, vase, sink, refrigerator",39673,127182
136,coco-30k,"An image containing bicycle, motorcycle, person, backpack",37603,356387
137,coco-30k,"An image containing horse, car, bus, person, truck",69474,367680
138,coco-30k,An image containing toilet,15405,263796
139,coco-30k,"An image containing dining table, person, spoon, cake, cup",78892,117425
140,coco-30k,"An image containing bed, toilet, sink, cup",33061,365387
141,coco-30k,"An image containing toilet, cup",95604,487583
142,coco-30k,"An image containing fork, cake",91348,504711
143,coco-30k,"An image containing tv, chair, laptop, mouse, keyboard, handbag, bottle, person",1202,363840
144,coco-30k,"An image containing couch, chair, dining table, person, knife, cake, potted plant",17430,214720
145,coco-30k,An image containing airplane,18029,379453
146,coco-30k,"An image containing zebra, giraffe",58585,311295
147,coco-30k,"An image containing dog, orange",53231,29393
148,coco-30k,"An image containing car, bus, person, umbrella",28881,278848
149,coco-30k,"An image containing car, truck, traffic light",41264,166391
150,coco-30k,"An image containing person, bench",53006,48153
151,coco-30k,"An image containing person, bench, laptop, backpack",48078,459153
152,coco-30k,"An image containing cell phone, person, bench, handbag",33670,295713
153,coco-30k,An image containing giraffe,15720,223130
154,coco-30k,"An image containing person, bench, handbag",10350,273132
155,coco-30k,An image containing sheep,9073,198960
156,coco-30k,An image containing giraffe,15720,344059
157,coco-30k,An image containing sheep,9073,410428
158,coco-30k,An image containing fire hydrant,85597,87875
159,coco-30k,An image containing giraffe,15720,450758
160,coco-30k,An image without any labeled objects,60933,458790
161,coco-30k,An image containing bird,57603,460160
162,coco-30k,"An image containing train, person",46857,458109
163,coco-30k,An image containing train,70678,30675
164,coco-30k,"An image containing train, person",46857,566524
165,coco-30k,"An image containing bus, truck",17479,338428
166,coco-30k,"An image containing cat, chair",18685,545826
167,coco-30k,"An image containing cat, cup",27362,166277
168,coco-30k,"An image containing cat, banana",86223,269314
169,coco-30k,"An image containing tie, person",71552,476415
170,coco-30k,"An image containing tie, person, chair",452,292082
171,coco-30k,"An image containing umbrella, handbag, person",92793,360137
172,coco-30k,"An image containing umbrella, chair, person",31116,122046
173,coco-30k,"An image containing tie, person",71552,352684
174,coco-30k,"An image containing dog, person, umbrella, handbag",92828,512836
175,coco-30k,"An image containing tie, person, bottle",55338,8021
176,coco-30k,"An image containing dog, person, umbrella, bicycle",39922,107226
177,coco-30k,"An image containing umbrella, chair, person",31116,84477
178,coco-30k,"An image containing tie, person",71552,562243
179,coco-30k,"An image containing cat, sink",41220,181859
180,coco-30k,"An image containing cat, couch, laptop, person, refrigerator",20402,177015
181,coco-30k,"An image containing person, suitcase, train",22045,292236
182,coco-30k,"An image containing umbrella, dining table, bench, chair, car",15641,121506
183,coco-30k,"An image containing person, truck, umbrella",41868,288042
184,coco-30k,An image containing suitcase,59648,453860
185,coco-30k,"An image containing person, suitcase, backpack, tv",29021,500257
186,coco-30k,"An image containing teddy bear, bed",64639,113403
187,coco-30k,"An image containing teddy bear, book",2379,125062
188,coco-30k,An image containing bear,19907,375015
189,coco-30k,"An image containing person, frisbee, bottle",98174,334719
190,coco-30k,"An image containing dog, bed, laptop",76831,134112
191,coco-30k,"An image containing person, frisbee",11065,283520
192,coco-30k,An image containing zebra,1634,31269
193,coco-30k,"An image containing horse, person",82525,319721
194,coco-30k,"An image containing banana, dining table",93685,165351
195,coco-30k,"An image containing person, skis",21055,347265
196,coco-30k,"An image containing person, skis, backpack",39783,414170
197,coco-30k,"An image containing car, baseball glove, person, bench, sports ball, chair",12965,231508
198,coco-30k,"An image containing bowl, broccoli, carrot, dining table, apple",88891,389381
199,coco-30k,"An image containing person, skis",21055,118921
200,coco-30k,"An image containing mouse, remote, keyboard, sandwich",58822,21503
201,coco-30k,"An image containing person, skis",21055,785
202,coco-30k,An image containing skateboard,80646,300842
203,coco-30k,"An image containing fork, bowl, broccoli, carrot, dining table",66034,105014
204,coco-30k,"An image containing car, person, skateboard",62082,261982
205,coco-30k,An image containing broccoli,90551,34205
206,coco-30k,"An image containing person, skis",21055,99242
207,coco-30k,"An image containing person, skis",21055,314709
208,coco-30k,"An image containing dining table, fork, knife, bowl, broccoli, carrot, cup",90462,460494
209,coco-30k,"An image containing sandwich, apple, dining table",60843,339442
210,coco-30k,"An image containing person, skis, backpack",39783,541055
211,coco-30k,An image containing person,85791,409475
212,coco-30k,"An image containing hot dog, person",72153,464786
213,coco-30k,"An image containing dining table, cup, donut",17029,378605
214,coco-30k,"An image containing person, wine glass, fork, bowl, knife, cake, potted plant, dining table, tv",81585,331817
215,coco-30k,"An image containing tv, couch, bed, remote, chair",48499,218091
216,coco-30k,"An image containing bed, chair, person, book",16385,578545
217,coco-30k,"An image containing person, cake, wine glass, bowl, dining table",45185,363207
218,coco-30k,"An image containing person, tennis racket",26670,372577
219,coco-30k,An image containing person,85791,212166
220,coco-30k,"An image containing person, wine glass, cup, fork, pizza, knife",97948,172571
221,coco-30k,"An image containing person, pizza, laptop, dining table, cup",15566,294831
222,coco-30k,"An image containing tv, pizza",56150,84431
223,coco-30k,"An image containing pizza, person",67192,323355
224,coco-30k,"An image containing dining table, wine glass, cup, spoon, bowl, pizza, person",90126,355325
225,coco-30k,"An image containing dining table, fork, pizza",46948,100582
226,coco-30k,An image containing pizza,43643,555412
227,coco-30k,"An image containing tv, couch, chair",89189,4495
228,coco-30k,"An image containing tv, person, mouse, keyboard",67325,9483
229,coco-30k,"An image containing tv, chair, couch, dining table, banana, laptop, remote, bowl, clock",60296,326082
230,coco-30k,"An image containing person, kite",10634,398237
231,coco-30k,"An image containing person, baseball bat, baseball glove",1347,507223
232,coco-30k,An image containing vase,40539,31050
233,coco-30k,"An image containing sports ball, person, tennis racket",48019,239537
234,coco-30k,An image containing scissors,83441,340930
235,coco-30k,"An image containing chair, laptop",72093,11813
236,coco-30k,"An image containing cell phone, person, backpack",10949,281414
237,coco-30k,"An image containing couch, person, cell phone, laptop",67958,537991
238,coco-30k,An image containing dining table,95598,284282
239,coco-30k,"An image containing teddy bear, person",21858,321333
240,coco-30k,An image containing vase,40539,521282
241,coco-30k,"An image containing person, mouse, keyboard",52693,108026
242,coco-30k,"An image containing sandwich, person, oven, spoon",73329,243204
243,coco-30k,"An image containing knife, spoon, oven, clock",57256,177935
244,coco-30k,"An image containing bicycle, motorcycle, person, backpack",37603,38829
245,coco-30k,"An image containing toilet, sink",45350,397327
246,coco-30k,"An image containing cat, bottle, cup, sink",79596,501523
247,coco-30k,"An image containing cow, couch, chair, car, person, traffic light, dining table",10985,555050
248,coco-30k,"An image containing toilet, teddy bear",56910,376442
249,coco-30k,"An image containing person, toilet, sink",11226,187243
250,coco-30k,"An image containing spoon, bowl",83130,356347
251,coco-30k,"An image containing dining table, carrot, spoon, sandwich",64786,293044
252,coco-30k,"An image containing toilet, bottle",21368,560279
253,coco-30k,"An image containing potted plant, toilet",97384,42276
254,coco-30k,"An image containing motorcycle, person, handbag",52686,534827
255,coco-30k,"An image containing motorcycle, person",43297,190756
256,coco-30k,"An image containing dog, tv, person, couch, dining table",3824,482917
257,coco-30k,An image containing airplane,18029,300659
258,coco-30k,An image containing airplane,18029,199977
259,coco-30k,"An image containing airplane, truck, person",48232,442480
260,coco-30k,An image containing airplane,18029,384350
261,coco-30k,An image containing airplane,18029,383621
262,coco-30k,An image containing airplane,18029,189828
263,coco-30k,"An image containing traffic light, person, backpack, handbag",57976,412894
264,coco-30k,"An image containing person, bench",53006,537153
265,coco-30k,"An image containing bicycle, traffic light, backpack, person, handbag, potted plant, cell phone",39253,361103
266,coco-30k,"An image containing car, bus, person, backpack, handbag",92468,392722
267,coco-30k,"An image containing car, traffic light, fire hydrant",62964,338560
268,coco-30k,"An image containing person, bench, book",40835,264535
269,coco-30k,An image containing sheep,9073,295231
270,coco-30k,An image containing sheep,9073,154947
271,coco-30k,An image containing sheep,9073,212559
272,coco-30k,"An image containing sheep, person",25734,458755
273,coco-30k,An image containing stop sign,20316,104782
274,coco-30k,An image containing bird,57603,315257
275,coco-30k,An image containing person,85791,130599
276,coco-30k,"An image containing bird, banana",41619,227187
277,coco-30k,An image containing giraffe,15720,151662
278,coco-30k,An image without any labeled objects,60933,461275
279,coco-30k,An image containing bird,57603,523811
280,coco-30k,"An image containing tie, person",71552,456559
281,coco-30k,"An image containing person, baseball bat",89621,101068
282,coco-30k,"An image containing potted plant, dining table, person, cake, knife",84093,140640
283,coco-30k,An image containing traffic light,9860,516708
284,coco-30k,An image containing traffic light,9860,544605
285,coco-30k,"An image containing bottle, traffic light, person",77783,385190
286,coco-30k,"An image containing car, train",5256,338986
287,coco-30k,"An image containing parking meter, car",82834,53994
288,coco-30k,"An image containing horse, cow",42824,61171
289,coco-30k,"An image containing bird, cow",65249,314034
290,coco-30k,"An image containing cat, bed",61455,291490
291,coco-30k,An image containing cow,21884,152740
292,coco-30k,An image containing elephant,30753,24919
293,coco-30k,An image containing boat,78408,79837
294,coco-30k,"An image containing person, elephant",34704,21903
295,coco-30k,An image containing elephant,30753,564133
296,coco-30k,"An image containing person, suitcase",99985,337055
297,coco-30k,An image containing elephant,30753,110638
298,coco-30k,"An image containing handbag, suitcase, person",19769,34139
299,coco-30k,"An image containing tie, chair, dining table, person, cup, suitcase, wine glass",55316,80340
300,coco-30k,An image containing elephant,30753,83113
301,coco-30k,An image containing bear,19907,173033
302,coco-30k,"An image containing dog, frisbee",29752,255664
303,coco-30k,"An image containing dog, tv, bed",15312,72813
304,coco-30k,An image containing zebra,1634,545129
305,coco-30k,An image containing zebra,1634,546011
306,coco-30k,"An image containing horse, person",82525,121031
307,coco-30k,An image containing horse,65359,172547
308,coco-30k,An image containing horse,65359,369081
309,coco-30k,"An image containing potted plant, banana, apple, orange",85846,509131
310,coco-30k,"An image containing potted plant, bottle, toothbrush, cup, vase",43810,578922
311,coco-30k,"An image containing sports ball, person, baseball bat, baseball glove",58616,464089
312,coco-30k,"An image containing person, banana",53347,453708
313,coco-30k,"An image containing fork, apple, carrot",29163,177714
314,coco-30k,"An image containing bowl, banana",47147,459887
315,coco-30k,"An image containing cake, dining table",52986,155179
316,coco-30k,"An image containing fork, cake, bench, dining table, person",7872,261116
317,coco-30k,An image containing broccoli,90551,396274
318,coco-30k,"An image containing carrot, broccoli, spoon, oven",96289,29640
319,coco-30k,"An image containing spoon, bowl, broccoli",63790,141328
320,coco-30k,"An image containing bowl, book, carrot, dining table, oven",13177,308430
321,coco-30k,"An image containing person, backpack, skis",91423,43314
322,coco-30k,"An image containing person, skis",21055,273715
323,coco-30k,"An image containing person, snowboard, handbag",53234,456303
324,coco-30k,"An image containing skis, person, backpack",1573,406611
325,coco-30k,"An image containing person, donut",81460,475064
326,coco-30k,An image containing donut,91210,466567
327,coco-30k,"An image containing umbrella, person, bench, hot dog, potted plant, dining table",4287,137246
328,coco-30k,"An image containing knife, sandwich",92236,15079
329,coco-30k,An image containing donut,91210,296284
330,coco-30k,"An image containing cell phone, chair, dining table, person, cup, fork, knife, vase, backpack, handbag, spoon, sandwich, clock",10142,226147
331,coco-30k,"An image containing dining table, bicycle, bottle, knife, spoon, cake, person, sandwich",86851,226903
332,coco-30k,"An image containing umbrella, surfboard",8879,127517
333,coco-30k,"An image containing person, cake, fork, chair",78140,162092
334,coco-30k,An image containing cake,64129,131379
335,coco-30k,"An image containing dog, sports ball",94809,366611
336,coco-30k,"An image containing tie, person, knife, cake",14996,263969
337,coco-30k,"An image containing bed, person, book",84469,551439
338,coco-30k,"An image containing bottle, person, pizza, dining table, handbag",93983,474167
339,coco-30k,"An image containing dog, bed, chair",48096,159458
340,coco-30k,"An image containing person, pizza",18462,554735
341,coco-30k,"An image containing cell phone, laptop, remote",98610,99428
342,coco-30k,"An image containing tennis racket, person, chair",93328,386352
343,coco-30k,"An image containing bottle, dining table, cup, fork, knife, pizza, chair",9405,173004
344,coco-30k,"An image containing toothbrush, person",23050,311394
345,coco-30k,"An image containing couch, remote, person, bottle",60722,578489
346,coco-30k,An image containing chair,72887,189310
347,coco-30k,"An image containing tv, person, remote, couch, clock, keyboard",99613,491366
348,coco-30k,"An image containing potted plant, tv, person, remote, handbag, chair",97867,448076
349,coco-30k,"An image containing potted plant, couch, vase, chair",84826,293804
350,coco-30k,"An image containing backpack, person, boat, umbrella, handbag, surfboard, kite",50779,312237
351,coco-30k,"An image containing person, kite",10634,221291
352,coco-30k,"An image containing bottle, person, pizza, bowl",26977,141821
353,coco-30k,"An image containing sports ball, chair, tennis racket, person",75034,410650
354,coco-30k,"An image containing person, tennis racket",26670,199310
355,coco-30k,"An image containing pizza, bowl, chair, dining table, cup",67758,323151
356,coco-30k,"An image containing cell phone, person, laptop, chair, book, backpack",49229,89648
357,coco-30k,"An image containing teddy bear, banana, bowl",80194,219283
358,coco-30k,"An image containing couch, teddy bear, tie",93581,471869
359,coco-30k,"An image containing bottle, person, knife, pizza, microwave, wine glass, sink",92571,520264
360,coco-30k,An image containing clock,72794,111179
361,coco-30k,"An image containing cell phone, person, handbag, tie",14783,151000
362,coco-30k,"An image containing cell phone, person, backpack, car",68113,100624
363,coco-30k,"An image containing cell phone, person",38289,332570
364,coco-30k,"An image containing chair, dining table, refrigerator",90416,57238
365,coco-30k,An image containing refrigerator,36254,502732
366,coco-30k,"An image containing refrigerator, clock, toaster, bowl, sink, cup, bottle",42149,135561
367,coco-30k,"An image containing fork, bowl, broccoli",77485,8277
368,coco-30k,An image containing clock,72794,173044
369,coco-30k,An image containing vase,40539,168458
370,coco-30k,An image containing vase,40539,512194
371,coco-30k,An image containing vase,40539,370042
372,coco-30k,"An image containing teddy bear, dining table, tie, tv",8171,189436
373,coco-30k,An image containing fork,24896,533958
374,coco-30k,"An image containing person, snowboard",38156,117645
375,coco-30k,"An image containing chair, dining table, potted plant, refrigerator, sink, tv",14640,221708
376,coco-30k,An image containing person,85791,202228
377,coco-30k,"An image containing bicycle, backpack, person",31799,403565
378,coco-30k,"An image containing cat, toilet",91280,211042
379,coco-30k,"An image containing bottle, toothbrush, sink, cup, spoon",10648,492878
380,coco-30k,"An image containing bicycle, person, motorcycle, stop sign",57783,441586
381,coco-30k,"An image containing bottle, toilet, sink",70765,547816
382,coco-30k,"An image containing potted plant, bottle, sink, toilet",61451,306733
383,coco-30k,"An image containing cat, car",73966,530099
384,coco-30k,An image containing suitcase,59648,312278
385,coco-30k,"An image containing car, person, snowboard",64796,97679
386,coco-30k,An image containing toilet,15405,564127
387,coco-30k,An image containing toilet,15405,251065
388,coco-30k,"An image containing dining table, cup, fork, broccoli, carrot, spoon",83187,3845
389,coco-30k,"An image containing toilet, sink",45350,138819
390,coco-30k,"An image containing dog, bowl",39714,205834
391,coco-30k,"An image containing bowl, banana, dining table",62572,348708
392,coco-30k,"An image containing tv, book, couch",70335,166521
393,coco-30k,An image containing airplane,18029,485802
394,coco-30k,"An image containing airplane, person, truck",29961,99054
395,coco-30k,An image containing giraffe,15720,22969
396,coco-30k,"An image containing person, bus, handbag",92985,570539
397,coco-30k,An image containing sheep,9073,278353
398,coco-30k,"An image containing sheep, car, person, truck, motorcycle",91748,158548
399,coco-30k,An image containing sheep,9073,461405
400,coco-30k,"An image containing sheep, car, person, cell phone",17405,176606
401,coco-30k,An image containing sheep,9073,44699
402,coco-30k,"An image containing sheep, bottle, person, handbag",55382,559956
403,coco-30k,An image without any labeled objects,60933,268996
404,coco-30k,"An image containing bicycle, car, person, traffic light, backpack",76300,11197
405,coco-30k,"An image containing tie, person, chair",452,483667
406,coco-30k,An image containing person,85791,448810
407,coco-30k,"An image containing stop sign, truck, car",40327,724
408,coco-30k,An image containing parking meter,93263,51961
409,coco-30k,"An image containing cat, person, book, dog, suitcase",77363,375278
410,coco-30k,An image containing cow,21884,302165
411,coco-30k,"An image containing tv, cat",22255,131131
412,coco-30k,"An image containing tv, cat, bowl",5768,98839
413,coco-30k,An image containing cow,21884,402992
414,coco-30k,"An image containing boat, truck",81743,465675
415,coco-30k,An image containing cow,21884,240754
416,coco-30k,"An image containing person, wine glass, tie",47998,21167
417,coco-30k,An image containing boat,78408,148730
418,coco-30k,"An image containing person, elephant, car",62618,384468
419,coco-30k,"An image containing person, backpack, umbrella, handbag",38420,253742
420,coco-30k,"An image containing boat, person",80069,186873
421,coco-30k,"An image containing chair, teddy bear",17871,82180
422,coco-30k,"An image containing dog, refrigerator, chair, dining table",90188,446522
423,coco-30k,An image containing zebra,1634,552902
424,coco-30k,"An image containing dog, frisbee",29752,125405
425,coco-30k,An image containing zebra,1634,110211
426,coco-30k,"An image containing cow, zebra",28207,16010
427,coco-30k,"An image containing person, skis",21055,64462
428,coco-30k,"An image containing bowl, broccoli, carrot",49797,314182
429,coco-30k,"An image containing broccoli, orange",19670,248980
430,coco-30k,"An image containing person, baseball bat, baseball glove",1347,68387
431,coco-30k,"An image containing apple, banana, orange",63614,429281
432,coco-30k,"An image containing sports ball, person, baseball glove, backpack, baseball bat, cup",74988,345466
433,coco-30k,"An image containing fork, knife, broccoli, bowl",2395,352900
434,coco-30k,"An image containing hot dog, sandwich, carrot, person",11907,118367
435,coco-30k,"An image containing horse, person, carrot, car",64278,113235
436,coco-30k,"An image containing sandwich, chair, dining table, cup, knife, person",8180,311303
437,coco-30k,"An image containing person, donut, backpack, bowl",66629,163640
438,coco-30k,An image without any labeled objects,60933,370999
439,coco-30k,"An image containing person, surfboard",69404,1490
440,coco-30k,"An image containing person, donut, handbag, sandwich",1267,329456
441,coco-30k,"An image containing chair, person, cup, cake, bowl, dining table",99060,570471
442,coco-30k,"An image containing sandwich, spoon, bowl",71281,88269
443,coco-30k,"An image containing person, cake, car, donut",74303,260470
444,coco-30k,An image containing bed,90336,193494
445,coco-30k,"An image containing person, tennis racket, bench",41489,252776
446,coco-30k,"An image containing person, tennis racket",26670,201072
447,coco-30k,"An image containing bottle, couch, person, pizza, backpack",59716,18150
448,coco-30k,"An image containing knife, pizza, cup",91523,337498
449,coco-30k,"An image containing toothbrush, sink",45793,521405
450,coco-30k,"An image containing chair, person, remote, handbag",18003,518770
451,coco-30k,"An image containing person, chair, remote, couch",79898,201646
452,coco-30k,"An image containing potted plant, tv, person, couch, cup, cell phone, book, bowl, remote",54359,36936
453,coco-30k,"An image containing remote, person",86665,59044
454,coco-30k,"An image containing remote, person, tv",58152,172946
455,coco-30k,"An image containing person, remote",71866,234607
456,coco-30k,"An image containing couch, person, remote",5542,532690
457,coco-30k,"An image containing person, tennis racket",26670,323895
458,coco-30k,"An image containing person, tennis racket, sports ball",94853,384670
459,coco-30k,"An image containing person, kite, chair",185,50326
460,coco-30k,An image containing teddy bear,94865,205542
461,coco-30k,An image containing clock,72794,217957
462,coco-30k,"An image containing person, teddy bear",49698,162035
463,coco-30k,"An image containing person, baseball bat, backpack, bench",5806,415727
464,coco-30k,"An image containing person, baseball bat, baseball glove",1347,46252
465,coco-30k,"An image containing baseball bat, baseball glove, person",34914,182021
466,coco-30k,"An image containing person, baseball bat, sports ball, baseball glove",57528,231747
467,coco-30k,"An image containing person, tennis racket",26670,90284
468,coco-30k,"An image containing bottle, umbrella, chair, dining table, person, cup, fork, knife, pizza",90540,286553
469,coco-30k,An image containing clock,72794,488736
470,coco-30k,"An image containing laptop, cup, book",33166,63602
471,coco-30k,"An image containing teddy bear, chair",66718,383386
472,coco-30k,"An image containing cell phone, person",38289,450686
473,coco-30k,"An image containing cell phone, person",38289,5060
474,coco-30k,"An image containing cell phone, person",38289,286523
475,coco-30k,"An image containing cell phone, person, bench, bird, umbrella",56720,120420
476,coco-30k,"An image containing cell phone, person, bowl, wine glass, cup",17855,579655
477,coco-30k,"An image containing cat, person, refrigerator, bottle",58499,117908
478,coco-30k,"An image containing scissors, cup, spoon, dining table",98386,550322
479,coco-30k,"An image containing bench, teddy bear",40948,322844
480,coco-30k,An image containing clock,72794,218362
481,coco-30k,"An image containing vase, dining table, chair",74335,213224
482,coco-30k,"An image containing cat, person, bed",19074,223747
483,coco-30k,"An image containing tie, person, handbag, car",11274,297578
